country_id,year,total_floorspace_m2,res_share,nres_share,residential_floorspace_m2,non_residential_floorspace_m2,v6_estimate_status,composition_status,interpolation_from,composition_source,method_id,qa_flags,period_end,nowcast_horizon_years,nowcast_method
BEL,2025,1131096137.22,0.745324247334371,0.25467575266562903,843033377.1363109,288062760.0836891,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
BEL,2026,1143227506.21,0.7452783556571956,0.2547216443428044,852022715.9702652,291204790.2397349,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BEN,2020,302038367.25,0.9899629138405143,0.010037086159485745,299006782.1344414,3031585.1155586476,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BEN,2023,329684296.35,0.9899274159574799,0.010072584042520108,326363523.56751555,3320772.7824844806,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BEN,2024,336163640.51,0.9899155833298018,0.010084416670198229,332773626.28972644,3390014.2202735688,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
BEN,2025,346122198.87,0.9899037507021237,0.01009624929787635,342627662.86267936,3494536.007320656,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
BEN,2026,356375770.94,0.9898803131501532,0.010119686849846788,352769359.7372145,3606411.2027855287,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BFA,2020,359180891.35,0.9931445026090707,0.006855497390929296,356718527.68647844,2462363.663521584,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BFA,2023,404459464.1,0.993328877971083,0.006671122028916953,401761265.6592386,2698198.440761456,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BFA,2024,415272502.52,0.9933903364250872,0.006609663574912839,412527690.98643064,2744811.533569344,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
BFA,2025,432036495.34,0.9934517948790913,0.0065482051209087245,429207431.74879515,2829063.5912048463,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
BFA,2026,449477228.01,0.9934639219665946,0.006536078033405407,446539409.77348787,2937818.2365121143,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BGD,2020,2430930564.55,0.97457984970745,0.025420150292549997,2369135944.248386,61794620.30161442,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BGD,2023,2618059042.17,0.9751614169519417,0.02483858304805832,2553030165.226341,65028876.94365957,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BGD,2024,2661561596.22,0.9753552727001056,0.024644727299894423,2595968136.4892864,65593459.730713606,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
